вид спорта,процент вилки,время жизни вилки,название противоположной бк,команда 1,команда 2,вид ставки,коэффициент на Bet365,количество инициаторов у Bet365,коэффициент противоположной БК,количество инициаторов противоположной БК,кто является инициатором
Киберфутбол,0.49,4 сек,Betcity,Real Sociedad (AlBack) Esports,Hoffenheim (skripp) Esports,Тб(4.5),2.21,1,1.854,4,Betcity
Киберфутбол,4.76,36 сек,Betcity,Real Sociedad (AlBack) Esports,Villarreal (Indenfor) Esports,Команда1 Тб(2.5),2.22,2,22,2,0
Киберфутбол,1.55,1 сек,Betcity,Real Sociedad (AlBack) Esports,Villarreal (Indenfor) Esports,1,2.8751,1,1.574,4,Betcity
Киберфутбол,5.86,1 мин 56 сек,Betcity,Leicester (SpursMax) Esports,Roma (Yoshi) Esports,Команда1 Тб(1.5),3.252,2,1.574,4,0
Киберфутбол,0.84,3 сек,Betcity,Real Sociedad (AlBack) Esports,Villarreal (Indenfor) Esports,Тб(5.5),2.51,1,1.697,7,Betcity
Киберфутбол,0.59,4 сек,Betcity,Real Sociedad (AlBack) Esports,Villarreal (Indenfor) Esports,1,6.51,1,1.197,7,Betcity
Киберфутбол,0.49,2 сек,Betcity,Leicester (SpursMax) Esports,Hoffenheim (skripp) Esports,Тб(4.5),2.21,1,1.857,7,Betcity
Киберфутбол,3.01,4 сек,Betcity,Roma (Yoshi) Esports,Villarreal (Indenfor) Esports,Команда1 Тб(2.5),2.251,1,1.95,5,Betcity
Киберфутбол,3.61,33 сек,Betcity,Roma (Yoshi) Esports,Villarreal (Indenfor) Esports,Тб(3.5),21,1,2.154,4,Betcity
Киберфутбол,0,3 сек,Betcity,Roma (Yoshi) Esports,Villarreal (Indenfor) Esports,1,21,1,28,8,Betcity
Киберфутбол,0.84,3 сек,Betcity,Roma (Yoshi) Esports,Villarreal (Indenfor) Esports,Тб(5.5),2.51,1,1.694,4,Betcity
Киберфутбол,2.94,1 сек,1xbet,Leicester (SpursMax) Esports,Hoffenheim (skripp) Esports,Гола не будет(5),2.54,4,1.752,2,0
Киберфутбол,1.95,8 сек,Betcity,Hoffenheim (skripp) Esports,Villarreal (Indenfor) Esports,Тб(3.5),2.21,1,1.95,5,Betcity
Киберфутбол,1.23,1 сек,Betcity,Roma (Yoshi) Esports,Real Sociedad (AlBack) Esports,Тб(5.5),21,1,2.058,8,Betcity
Киберфутбол,2.16,1 сек,Betcity,Hoffenheim (skripp) Esports,Villarreal (Indenfor) Esports,Команда2 Тб(1.5),3.251,1,1.492,2,0
Киберфутбол,0,12 сек,Betcity,Hoffenheim (skripp) Esports,Villarreal (Indenfor) Esports,Обе команды забьют,21,1,25,5,Betcity
Киберфутбол,2.07,1 сек,1xbet,Roma (Yoshi) Esports,Real Sociedad (AlBack) Esports,Тм(5.5),2.6255,5,1.676,6,0
Киберфутбол,1.32,5 сек,Betcity,Hoffenheim (skripp) Esports,Villarreal (Indenfor) Esports,1,31,1,1.534,4,Betcity
Киберфутбол,0.18,3 сек,Betcity,Hoffenheim (skripp) Esports,Roma (Yoshi) Esports,Команда1 Тб(1.5),2.6251,1,1.622,2,0
Киберфутбол,2.44,11 сек,Betcity,Leicester (SpursMax) Esports,Real Sociedad (AlBack) Esports,Тб(4.5),2.11,1,29,9,Betcity
Киберфутбол,0.84,1 сек,Betcity,Leicester (SpursMax) Esports,Real Sociedad (AlBack) Esports,Команда2 Тб(3.5),2.51,1,1.695,5,Betcity
Киберфутбол,0.88,0 сек,Unibet,Leicester (SpursMax) Esports,Real Sociedad (AlBack) Esports,Г2(-4),31,1,1.522,2,0
Киберфутбол,0.49,1 сек,Betcity,Leicester (SpursMax) Esports,Real Sociedad (AlBack) Esports,Тб(5.5),2.22,2,1.857,7,Betcity
Киберфутбол,0.12,2 сек,1xbet,Leicester (SpursMax) Esports,Real Sociedad (AlBack) Esports,Тм(4.5),2.51,1,1.673,3,0
Киберфутбол,0.56,2 сек,Unibet,Hoffenheim (skripp) Esports,Roma (Yoshi) Esports,Гола не будет(4),2.6251,1,1.635,5,Unibet
Киберфутбол,2.53,1 сек,Betcity,Hoffenheim (skripp) Esports,Real Sociedad (AlBack) Esports,Г2(3),2.31,1,1.853,3,0
Киберфутбол,1.95,0 сек,Betcity,Villarreal (Indenfor) Esports,Leicester (SpursMax) Esports,Тб(4.5),2.21,1,1.96,6,Betcity
Киберфутбол,0.18,3 сек,Betcity,Villarreal (Indenfor) Esports,Leicester (SpursMax) Esports,Команда2 Тб(1.5),2.6251,1,1.625,5,Betcity
Киберфутбол,1.23,3 сек,Betcity,Villarreal (Indenfor) Esports,Leicester (SpursMax) Esports,Тб(3.5),21,1,2.056,6,Betcity
Киберфутбол,7.52,2 сек,1xbet,Villarreal (Indenfor) Esports,Leicester (SpursMax) Esports,Гола не будет(4),4.3335,5,1.434,4,0
Киберфутбол,2.7,4 сек,1xbet,Villarreal (Indenfor) Esports,Leicester (SpursMax) Esports,Гола не будет(5),2.14,4,2.013,3,0
Киберфутбол,0.19,10 сек,Betcity,Roma (Yoshi) Esports,Leicester (SpursMax) Esports,1,2.42,2,1.728,8,Betcity
Киберфутбол,1.23,1 мин 19 сек,Betcity,Roma (Yoshi) Esports,Leicester (SpursMax) Esports,Тб(3.5),22,2,2.055,5,Betcity
Киберфутбол,1.11,6 сек,1xbet,Villarreal (Indenfor) Esports,Real Sociedad (AlBack) Esports,Тб(5.5),2.14,4,1.953,3,0
Киберфутбол,0.49,0 сек,Betcity,Roma (Yoshi) Esports,Leicester (SpursMax) Esports,Тб(4.5),2.21,1,1.855,5,Betcity
Киберфутбол,1.19,3 сек,1xbet,Villarreal (Indenfor) Esports,Real Sociedad (AlBack) Esports,Тм(5.5),2.53,3,1.73,3,0
Киберфутбол,0.4,3 сек,Betcity,Roma (Yoshi) Esports,Leicester (SpursMax) Esports,1,191,1,1.068,8,Betcity
Киберфутбол,0.63,0 сек,Betcity,Villarreal (Indenfor) Esports,Real Sociedad (AlBack) Esports,2,3.11,1,1.492,2,0
Киберфутбол,1.09,1 сек,Betcity,Man Utd (skripp) Esports,Chelsea (SpursMax) Esports,Тб(5.5),2.3751,1,1.766,6,Betcity
Киберфутбол,3.61,16 сек,Betcity,Man City (indenfor) Esports,Tottenham (Yoshi) Esports,Команда1 Тб(2.5),21,1,2.155,5,Betcity
Киберфутбол,0,2 сек,Betcity,Man City (indenfor) Esports,Tottenham (Yoshi) Esports,Тб(5.5),21,1,27,7,Betcity
Киберфутбол,0.93,3 сек,Betcity,Man Utd (skripp) Esports,Chelsea (SpursMax) Esports,Г1(-4),41,1,1.352,2,0
Киберфутбол,1.23,28 сек,Betcity,Man Utd (skripp) Esports,Chelsea (SpursMax) Esports,Тб(4.5),22,2,2.057,7,Betcity
Киберфутбол,3.11,27 сек,1xbet,Man City (indenfor) Esports,Tottenham (Yoshi) Esports,Гола не будет(6),3.43,3,1.482,2,0
Киберфутбол,1.23,3 сек,1xbet,Man City (indenfor) Esports,Man Utd (skripp) Esports,Тм(4.5),23,3,2.052,2,0
Киберфутбол,8.05,1 сек,Betcity,Liverpool (AlBack) Esports,Tottenham (Yoshi) Esports,Тм(3.5),22,2,2.3512,12,Betcity
Киберфутбол,2.44,8 сек,Betcity,Man City (indenfor) Esports,Man Utd (skripp) Esports,Команда1 Тб(2.5),2.11,1,25,5,Betcity
Киберфутбол,0.61,0 сек,1xbet,Liverpool (AlBack) Esports,Tottenham (Yoshi) Esports,Тб(3.5),2.253,3,1.824,4,0
Киберфутбол,1.23,2 сек,Betcity,Liverpool (AlBack) Esports,Tottenham (Yoshi) Esports,Команда1 Тб(1.5),22,2,2.052,2,0
Киберфутбол,1.9,2 сек,Betcity,Tottenham (Yoshi) Esports,Man Utd (skripp) Esports,Тб(5.5),2.51,1,1.725,5,Betcity
Киберфутбол,1.11,0 сек,1xbet,Liverpool (AlBack) Esports,Chelsea (SpursMax) Esports,Тб(5.5),2.14,4,1.954,4,0
Киберфутбол,0.66,0 сек,1xbet,Tottenham (Yoshi) Esports,Man Utd (skripp) Esports,Гола не будет(4),3.42,2,1.432,2,0
Киберфутбол,8.1,5 сек,Betcity,Liverpool (AlBack) Esports,Chelsea (SpursMax) Esports,1,34,4,1.698,8,Betcity
Киберфутбол,1.23,53 сек,Betcity,Liverpool (AlBack) Esports,Man Utd (skripp) Esports,Команда1 Тб(1.5),21,1,2.052,2,0
Киберфутбол,3.09,2 сек,Fonbet,Liverpool (AlBack) Esports,Man Utd (skripp) Esports,Тб(4.5),2.22,2,1.946,6,Fonbet
Киберфутбол,2.26,3 сек,Favbet,Liverpool (AlBack) Esports,Man Utd (skripp) Esports,Тм(5),1.951,1,2.153,3,0
Киберфутбол,2.98,1 сек,Favbet,Liverpool (AlBack) Esports,Man Utd (skripp) Esports,Тм(5.5),1.8331,1,2.359,9,Favbet
Киберфутбол,1.16,2 сек,Favbet,Liverpool (AlBack) Esports,Man Utd (skripp) Esports,Гола не будет(6),3.41,1,1.446,6,Favbet
Киберфутбол,0,4 сек,Fonbet,Liverpool (AlBack) Esports,Man City (indenfor) Esports,Команда2 Тб(2.5),2.251,1,1.82,2,0
Киберфутбол,2.98,1 сек,Betcity,Liverpool (AlBack) Esports,Man City (indenfor) Esports,Тб(5.5),1.8332,2,2.353,3,0
Киберфутбол,0,1 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,1X,1.51,1,32,2,0
Киберфутбол,1.23,0 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тм(5),1.8751,1,2.22,2,0
Киберфутбол,1.52,0 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тм(4.5),2.251,1,1.854,4,Favbet
Киберфутбол,1.12,3 сек,Betcity,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тб(4.5),1.9091,1,2.155,5,Betcity
Киберфутбол,0,1 сек,Betcity,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Команда2 Тб(1.5),1.81,1,2.257,7,Betcity
Киберфутбол,0,3 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,1,1.9091,1,2.17,7,Favbet
Киберфутбол,0.2,0 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тм(3.5),2.21,1,1.845,5,Favbet
Киберфутбол,0,20 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,1,1.9091,1,2.17,7,Favbet
Киберфутбол,0.16,3 сек,Betcity,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Тб(4),1.8751,1,2.153,3,0
Киберфутбол,0.26,2 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,1X,1.2861,1,4.553,3,0
Киберфутбол,2.49,1 сек,Betcity,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Тб(3.75),1.81,1,2.383,3,0
Киберфутбол,0.48,1 сек,1xbet,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Команда1 Тб(1.5),2.54,4,1.682,2,0
Киберфутбол,1.57,0 сек,Betcity,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Тб(3.5),1.6671,1,2.63,3,0
Киберфутбол,1.23,2 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тм(3.5),21,1,2.054,4,Favbet
Киберфутбол,1.12,0 сек,Betcity,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Команда2 Тб(2.5),1.9091,1,2.155,5,Betcity
Киберфутбол,2.49,2 сек,Unibet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тб(3.5),1.81,1,2.389,9,Unibet
Киберфутбол,1.93,0 сек,Favbet,Inter (Indenfor) Esports,Atalanta (skripp) Esports,Тм(4),1.81,1,2.353,3,0
Киберфутбол,3.76,2 сек,Betcity,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Тб(3),1.81,1,2.454,4,Betcity
Киберфутбол,0,4 сек,Favbet,Napoli (AlBack) Esports,AC Milan (Yoshi) Esports,Тм(3.5),2.251,1,1.87,7,Favbet
Киберфутбол,0.49,1 сек,Favbet,Napoli (AlBack) Esports,Lazio (SpursMax) Esports,Тм(7),1.851,1,2.25,5,Favbet
Киберфутбол,0.98,11 сек,Favbet,AC Milan (Yoshi) Esports,Atalanta (skripp) Esports,Тм(5.5),1.81,1,2.310,10,Favbet
Киберфутбол,3.67,7 сек,Favbet,AC Milan (Yoshi) Esports,Atalanta (skripp) Esports,Тм(6),1.8251,1,2.44,4,Favbet
Киберфутбол,0.49,2 сек,Betcity,AC Milan (Yoshi) Esports,Atalanta (skripp) Esports,Тб(5.75),1.851,1,2.23,3,0
Киберфутбол,0,1 сек,Favbet,Napoli (AlBack) Esports,Lazio (SpursMax) Esports,Тм(5.5),1.9091,1,2.18,8,Favbet
Киберфутбол,1.72,5 сек,Olimp,Napoli (AlBack) Esports,Lazio (SpursMax) Esports,Тб(5.5),21,1,2.077,7,Olimp
Киберфутбол,3.29,25 сек,Favbet,AC Milan (Yoshi) Esports,Atalanta (skripp) Esports,Тм(4.5),2.51,1,1.768,8,Favbet
Киберфутбол,0,1 сек,Betcity,AC Milan (Yoshi) Esports,Atalanta (skripp) Esports,Тб(4.5),1.82,2,2.253,3,0
Киберфутбол,1.52,3 сек,1xbet,AC Milan (Yoshi) Esports,Atalanta (skripp) Esports,Гола не будет(5),3.55,5,1.434,4,0
Киберфутбол,0.65,18 сек,1xbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Команда1 Тб(1.5),1.6673,3,2.542,2,0
Киберфутбол,0.78,2 сек,1xbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Команда1 Тб(2.5),1.7272,2,2.422,2,0
Киберфутбол,0.43,0 сек,Favbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Тм(5),1.9251,1,2.13,3,0
Киберфутбол,1.48,10 сек,1xbet,Napoli (AlBack) Esports,Atalanta (skripp) Esports,Команда2 Тб(1.5),24,4,2.062,2,0
Киберфутбол,1.01,11 сек,Betcity,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Тб(4.5),1.8331,1,2.255,5,Betcity
Киберфутбол,0.61,24 сек,1xbet,Napoli (AlBack) Esports,Atalanta (skripp) Esports,Тб(4.5),2.254,4,1.822,2,0
Киберфутбол,1.82,5 сек,Favbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Тм(4.5),2.251,1,1.868,8,Favbet
Киберфутбол,0.49,0 сек,Betcity,Napoli (AlBack) Esports,Atalanta (skripp) Esports,Команда1 Тб(2.5),2.21,1,1.852,2,0
Киберфутбол,1.12,3 сек,Betcity,Napoli (AlBack) Esports,Atalanta (skripp) Esports,Тб(4),1.7751,1,2.353,3,0
Киберфутбол,5.82,21 сек,Favbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Тм(6),1.9251,1,2.354,4,Favbet
Киберфутбол,0.92,5 сек,Favbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Тм(5.5),2.251,1,1.8310,10,Favbet
Киберфутбол,0,3 сек,Betcity,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Тб(5.5),1.81,1,2.253,3,0
Киберфутбол,0.17,2 сек,Favbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,Гола не будет(5),3.41,1,1.425,5,Favbet
Киберфутбол,17.94,3 сек,1xbet,Lazio (SpursMax) Esports,Inter (Indenfor) Esports,1,154,4,1.282,2,0
Киберфутбол,0.17,0 сек,Favbet,Napoli (AlBack) Esports,Atalanta (skripp) Esports,Гола не будет(4),3.41,1,1.428,8,Favbet
Киберфутбол,3.01,1 сек,Betcity,Lazio (SpursMax) Esports,AC Milan (Yoshi) Esports,Тб(5),1.91,1,2.257,7,Betcity
Киберфутбол,1.01,18 сек,Betcity,Napoli (AlBack) Esports,Inter (Indenfor) Esports,Тб(5.5),1.8331,1,2.254,4,Betcity
Киберфутбол,4.03,11 сек,Betcity,Napoli (AlBack) Esports,Inter (Indenfor) Esports,Тб(5.25),1.951,1,2.232,2,0
Киберфутбол,1.93,0 сек,Betcity,Lazio (SpursMax) Esports,AC Milan (Yoshi) Esports,Команда1 Тб(1.5),1.86,6,2.352,2,Bet365
Киберфутбол,3.9,7 сек,Unibet,Lazio (SpursMax) Esports,AC Milan (Yoshi) Esports,Тб(4.5),1.9091,1,2.288,8,Unibet
Киберфутбол,0,1 сек,Betcity,Napoli (AlBack) Esports,Inter (Indenfor) Esports,Тб(6.5),1.81,1,2.254,4,Betcity
Киберфутбол,0,3 сек,Favbet,Napoli (AlBack) Esports,Inter (Indenfor) Esports,Тм(6.5),1.9091,1,2.16,6,Favbet
Киберфутбол,1.91,0 сек,Favbet,Lazio (SpursMax) Esports,AC Milan (Yoshi) Esports,Тм(5.5),2.11,1,1.989,9,Favbet
Киберфутбол,1.65,3 сек,1xbet,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Команда2 Тб(1.5),2.14,4,1.972,2,0
Киберфутбол,0.49,3 сек,1xbet,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(5.5),2.21,1,1.853,3,0
Киберфутбол,0,0 сек,Betcity,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(4.5),1.82,2,2.253,3,0
Киберфутбол,1.93,2 сек,Betcity,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(4.25),1.851,1,2.272,2,0
Киберфутбол,0.49,2 сек,1xbet,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(3.5),1.6673,3,2.531,1,0
Киберфутбол,4.59,1 сек,Betcity,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(3),1.8251,1,2.452,2,0
Киберфутбол,2.08,0 сек,Betcity,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(2.75),1.751,1,2.452,2,0
Киберфутбол,6.36,6 сек,Betcity,AC Milan (Yoshi) Esports,Inter (Indenfor) Esports,Тб(2.5),1.88,8,2.64,4,Bet365
Киберфутбол,0.2,2 сек,1xbet,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Команда2 Тб(1.5),1.6153,3,2.642,2,0
Киберфутбол,1.95,28 сек,1xbet,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Тб(4.5),2.21,1,1.94,4,1xbet
Киберфутбол,0,2 сек,Favbet,Atalanta (skripp) Esports,Inter (Indenfor) Esports,Тм(4.5),1.81,1,2.2510,10,Favbet
Киберфутбол,0.66,0 сек,Betcity,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Тб(4.25),1.9251,1,2.112,2,0
Киберфутбол,2.26,11 сек,Betcity,Atalanta (skripp) Esports,Inter (Indenfor) Esports,Тб(4),1.951,1,2.153,3,0
Киберфутбол,2.08,5 сек,Betcity,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Тб(3.75),1.751,1,2.452,2,0
Киберфутбол,3.77,10 сек,Betcity,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Тб(3.5),1.7274,4,2.65,5,0
Киберфутбол,5.44,6 сек,Unibet,Atalanta (skripp) Esports,Inter (Indenfor) Esports,Тб(3.5),21,1,2.2311,11,Unibet
Киберфутбол,0.28,2 сек,Betcity,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Тб(3.25),1.851,1,2.192,2,0
Киберфутбол,0.86,0 сек,Betcity,Atalanta (skripp) Esports,Inter (Indenfor) Esports,Тб(3),1.91,1,2.152,2,0
Киберфутбол,2.24,0 сек,Favbet,Atalanta (skripp) Esports,Inter (Indenfor) Esports,Тм(2.5),2.21,1,1.919,9,Favbet
Киберфутбол,0,3 сек,Betcity,AC Milan (Yoshi) Esports,Napoli (AlBack) Esports,Тб(2.5),1.81,1,2.253,3,0
Киберфутбол,0.27,0 сек,1xbet,Atalanta (skripp) Esports,Inter (Indenfor) Esports,Гола не будет(2),3.251,1,1.452,2,0
Киберфутбол,2.27,0 сек,Betcity,Lazio (SpursMax) Esports,Napoli (AlBack) Esports,Тб(5),1.8752,2,2.252,2,0
Киберфутбол,1.82,22 сек,1xbet,Lazio (SpursMax) Esports,Napoli (AlBack) Esports,Команда1 Тб(1.5),2.252,2,1.862,2,0
Киберфутбол,1.36,2 сек,1xbet,Lazio (SpursMax) Esports,Napoli (AlBack) Esports,Тб(4.5),1.85,5,2.323,3,0
Киберфутбол,0.16,0 сек,Betcity,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тб(5.25),1.8751,1,2.153,3,0
Киберфутбол,3.01,16 сек,Betcity,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тб(5),1.91,1,2.253,3,0
Киберфутбол,1.3,2 сек,Betcity,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тб(4.5),1.7271,1,2.454,4,Betcity
Киберфутбол,4.48,4 сек,Unibet,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тб(5.5),1.8331,1,2.439,9,Unibet
Киберфутбол,0,1 сек,Favbet,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тм(5),1.81,1,2.254,4,Favbet
Киберфутбол,0.98,6 сек,Betcity,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тб(4.75),1.81,1,2.33,3,0
Киберфутбол,2.98,1 сек,Favbet,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Тм(4.5),1.8331,1,2.3510,10,Favbet
Киберфутбол,3.52,0 сек,Favbet,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Гола не будет(4),3.51,1,1.474,4,Favbet
Киберфутбол,6.77,3 сек,Favbet,Atalanta (skripp) Esports,AC Milan (Yoshi) Esports,Гола не будет(5),3.253,3,1.596,6,Favbet
Киберфутбол,4.05,3 сек,Favbet,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Тм(5),1.91,1,2.32,2,0
Киберфутбол,5.22,7 сек,Betcity,Atalanta (skripp) Esports,Napoli (AlBack) Esports,Тб(4.25),1.852,2,2.443,3,0
Киберфутбол,8.74,27 сек,Betcity,Atalanta (skripp) Esports,Napoli (AlBack) Esports,Тб(4.5),2.22,2,2.158,8,Betcity
Киберфутбол,11.79,3 сек,Betcity,Atalanta (skripp) Esports,Napoli (AlBack) Esports,Тб(4),1.82,2,2.954,4,0
Киберфутбол,1.91,0 сек,Fonbet,Atalanta (skripp) Esports,Napoli (AlBack) Esports,Г1(-2),2.31,1,1.833,3,0
Киберфутбол,1.12,1 сек,Fonbet,Atalanta (skripp) Esports,Napoli (AlBack) Esports,1,1.1821,1,73,3,0
Киберфутбол,1.23,2 сек,Favbet,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Тм(5.5),21,1,2.054,4,Favbet
Киберфутбол,16.7,1 сек,Unibet,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Г2(4),32,2,1.912,2,0
Киберфутбол,8.62,2 сек,Betcity,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Тб(6.5),2.14,4,2.258,8,Betcity
Киберфутбол,2.08,3 сек,Betcity,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Тб(6),1.751,1,2.452,2,0
Киберфутбол,2.93,1 сек,Betcity,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Тб(5.75),1.7751,1,2.451,1,0
Киберфутбол,1.42,3 сек,1xbet,Atalanta (skripp) Esports,Napoli (AlBack) Esports,Тм(4.5),2.3754,4,1.774,4,0
Киберфутбол,0.17,2 сек,Favbet,Inter (Indenfor) Esports,Lazio (SpursMax) Esports,Гола не будет(5),3.41,1,1.422,2,0
Киберфутбол,1.55,2 сек,Unibet,AC Milan (Yoshi) Esports,Lazio (SpursMax) Esports,Тм(4.5),1.81,1,2.335,5,Unibet
Киберфутбол,2.7,20 сек,1xbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,Тб(3.5),2.12,2,2.014,4,0
Киберфутбол,0.61,9 сек,1xbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,Тб(4.5),2.251,1,1.824,4,1xbet
Киберфутбол,1.13,1 сек,1xbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,Команда2 Тб(1.5),1.7271,1,2.442,2,0
Киберфутбол,1.61,1 сек,Unibet,AC Milan (Yoshi) Esports,Lazio (SpursMax) Esports,Тб(3.5),1.8331,1,2.287,7,Unibet
Киберфутбол,0.43,3 сек,1xbet,AC Milan (Yoshi) Esports,Lazio (SpursMax) Esports,Тм(3.5),1.7272,2,2.43,3,0
Киберфутбол,21.06,1 сек,Unibet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,1,4.3331,1,1.682,2,0
Киберфутбол,1.95,3 сек,Favbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,Тм(3.5),2.21,1,1.910,10,Favbet
Киберфутбол,0.3,28 сек,Favbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,Ф1(0.5),1.751,1,2.3515,15,Favbet
Киберфутбол,0,1 сек,Unibet,AC Milan (Yoshi) Esports,Lazio (SpursMax) Esports,Тм(2.5),1.81,1,2.253,3,0
Киберфутбол,0.66,12 сек,Favbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,Гола не будет(3),3.41,1,1.438,8,Favbet
Киберфутбол,1.23,0 сек,Favbet,Inter (Indenfor) Esports,Napoli (AlBack) Esports,X,21,1,2.059,9,Favbet
Киберфутбол,5.82,2 сек,Betcity,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,Тб(3),1.9251,1,2.354,4,Betcity
Киберфутбол,13.59,7 сек,Unibet,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,1X,1.31,1,95,5,Unibet
Киберфутбол,8.35,40 сек,Favbet,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,Тб(3.5),1.8331,1,2.6511,11,Favbet
Киберфутбол,0.18,2 сек,Favbet,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,Тб(3.25),1.7751,1,2.316,16,Favbet
Киберфутбол,0.61,4 сек,Unibet,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,1,2.251,1,1.826,6,Unibet
Киберфутбол,1.19,1 сек,1xbet,Spain (praym) Esports,Italy (Void) Esports,Тб(1.5),2.53,3,1.74,4,0
Киберфутбол,5.85,12 сек,Favbet,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,Тб(2.5),1.6671,1,2.911,11,Favbet
Киберфутбол,0.3,0 сек,Betcity,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,Ф1(-0.5),1.751,1,2.359,9,Betcity
Киберфутбол,1.15,1 сек,Unibet,Argentina (Oolancer) Esports,Netherlands (WeeMan) Esports,Гола не будет(4),2.751,1,1.67,7,Unibet
Киберфутбол,1.55,1 сек,Betcity,Belgium (Dimqaa) Esports,Netherlands (WeeMan) Esports,Тб(2.25),1.81,1,2.335,5,Betcity
Киберфутбол,4.03,16 сек,Betcity,Belgium (Dimqaa) Esports,Netherlands (WeeMan) Esports,Команда1 Тб(1.5),3.253,3,1.533,3,0
Киберфутбол,1.9,7 сек,Betcity,Belgium (Dimqaa) Esports,Netherlands (WeeMan) Esports,Тб(2.5),2.55,5,1.726,6,0
Киберфутбол,33.53,1 сек,Unibet,Belgium (Dimqaa) Esports,Netherlands (WeeMan) Esports,X2,2.3757,7,3.052,2,Bet365
Киберфутбол,4.62,1 сек,Unibet,Argentina (Oolancer) Esports,Spain (praym) Esports,Тб(3.5),2.3752,2,1.879,9,Unibet
Киберфутбол,22.22,0 сек,Olimp,Netherlands (WeeMan) Esports,Spain (praym) Esports,Хотя бы одна не забьет,2.752,2,2.23,3,0
Киберфутбол,2.97,2 сек,Fonbet,Netherlands (WeeMan) Esports,Spain (praym) Esports,Тб(2.5),1.7273,3,2.556,6,Fonbet
